"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that Call Taxi button is displayed and clickable","5791","Check Call Taxi button visibility for different addresses","tests","Sun Nov 02 22:53:56 HKT 2025","passed","Sun Nov 02 22:54:01 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that Book button is displayed and clickable for Drive option","26113","Check Book button visibility for Drive option","tests","Sun Nov 02 22:54:03 HKT 2025","skipped","Sun Nov 02 22:54:29 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that Call Taxi button is active when Fast route type is selected","6457","Check Call Taxi button is active for Fast route","tests","Sun Nov 02 22:56:59 HKT 2025","passed","Sun Nov 02 22:57:05 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Complete taxi order flow: select Working tariff, enable laptop table, place order, check waiting window, complete order, check details","46193","Full taxi order scenario - Working tariff with laptop table","tests","Sun Nov 02 22:55:21 HKT 2025","skipped","Sun Nov 02 22:56:07 HKT 2025","TestTaxiOrderFullFlow","test_taxi_order_full_flow","",""
"Verify that switching to Custom route tab activates all transportation types","5692","Check Custom tab activation and transportation types","tests","Sun Nov 02 22:56:52 HKT 2025","passed","Sun Nov 02 22:56:57 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Verify that all order form fields (Phone, Payment, Comment, Requirements) are displayed","8686","Check order form fields are displayed","tests","Sun Nov 02 22:55:10 HKT 2025","passed","Sun Nov 02 22:55:19 HKT 2025","TestTaxiOrderFullFlow","test_taxi_order_full_flow","",""
"Verify that hovering over tariff info icon shows correct description","7163","Check tariff descriptions on hover","tests","Sun Nov 02 22:55:01 HKT 2025","skipped","Sun Nov 02 22:55:08 HKT 2025","TestTaxiOrderFullFlow","test_taxi_order_full_flow","",""
"Verify that route price is displayed when entering two different preset addresses","5669","Check route price visibility for different addresses","tests","Sun Nov 02 22:54:39 HKT 2025","passed","Sun Nov 02 22:54:45 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that active tab changes when switching from Fast to Custom route type","6261","Check active tab change when switching to Custom route","tests","Sun Nov 02 22:56:43 HKT 2025","passed","Sun Nov 02 22:56:50 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Verify that when entering two different preset addresses in 'From' and 'To' fields, two route points are displayed on the map","7438","Check route points visibility after entering different addresses","tests","Sun Nov 02 22:53:07 HKT 2025","passed","Sun Nov 02 22:53:14 HKT 2025","TestRouteDisplay","test_route_display","",""
"Verify that waiting window closes after clicking Cancel button","17308","Check window closes after clicking Cancel button","tests","Sun Nov 02 22:56:09 HKT 2025","skipped","Sun Nov 02 22:56:26 HKT 2025","TestTaxiOrderFullFlow","test_taxi_order_full_flow","",""
"Verify that when entering two different preset addresses in 'From' and 'To' fields, route selection block is displayed","5326","Check route selection block appears for different addresses","tests","Sun Nov 02 22:53:16 HKT 2025","passed","Sun Nov 02 22:53:21 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that price and duration change when switching between Optimal and Fast route types","5795","Check price and duration recalculation when switching route types","tests","Sun Nov 02 22:56:36 HKT 2025","skipped","Sun Nov 02 22:56:42 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Verify that switching between Optimal and Fast route types changes active tab and recalculates time and cost","6194","Check route tab switching between Optimal and Fast","tests","Sun Nov 02 22:56:28 HKT 2025","passed","Sun Nov 02 22:56:34 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Verify that taxi order form opens with all 6 tariffs and one is active","5790","Check all 6 taxi tariffs are displayed","tests","Sun Nov 02 22:54:54 HKT 2025","passed","Sun Nov 02 22:54:59 HKT 2025","TestTaxiOrderFullFlow","test_taxi_order_full_flow","",""
"Verify that route duration is displayed when entering two different preset addresses","5436","Check route duration visibility for different addresses","tests","Sun Nov 02 22:54:47 HKT 2025","passed","Sun Nov 02 22:54:52 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that when entering same address in both 'From' and 'To' fields, block shows 'Авто Бесплатно В пути 0 мин.'","6347","Check same address route text for identical addresses","tests","Sun Nov 02 22:54:31 HKT 2025","passed","Sun Nov 02 22:54:37 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that Optimal, Fast, Custom route tabs are displayed for different addresses","24036","Check route tabs visibility for different addresses","tests","Sun Nov 02 22:53:23 HKT 2025","passed","Sun Nov 02 22:53:47 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that all transportation icons are displayed when Custom tab is selected","5768","Check transportation types visibility for different addresses","tests","Sun Nov 02 22:53:48 HKT 2025","passed","Sun Nov 02 22:53:54 HKT 2025","TestRouteSelectionBlock","test_route_selection_block","",""
"Verify that Book button is active when Custom route with Drive transportation type is selected","5458","Check Book button is active for Drive option in Custom route","tests","Sun Nov 02 22:57:07 HKT 2025","skipped","Sun Nov 02 22:57:13 HKT 2025","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
